Exchange Name,Exchange ID
Binance,binance
OKX,okex
Bybit,bybit_spot
Coinbase Exchange,gdax
Gate.io,gate
KuCoin,kucoin
Kraken,kraken
Crypto.com Exchange,crypto_com
Bitstamp,bitstamp
Bitfinex,bitfinex
Binance US,binance_us
BitMart,bitmart
MEXC,mxc
BingX,bingx
CoinW,coinw
Bitget,bitget
Gemini,gemini
WOO X,wootrade
Okcoin,okcoin
WhiteBIT,whitebit
DigiFinex,digifinex
Bitrue,bitrue
Upbit,upbit
LBank,lbank
P2B,p2pb2b
LATOKEN,latoken
Coinsbit,coinsbit
XT.COM,xt
Coinstore,coinstore
AscendEX (BitMax),bitmax
Phemex,phemex
QMall,qmall
PointPay,pointpay
Fastex,fastex
C-Patex,c_patex
ProBit Global,probit
Dex-Trade,dextrade
Bitkub,bitkub
EXMO,exmo
Cryptology,cryptology
Bitbank,bitbank
Bullish,bullish_com
Max Maicoin,max_maicoin
BitoPro,bitopro
Indodax,indodax
Bitso,bitso
VALR,valr
Coins.ph,coinspro
BitMEX,bitmex_spot
NiceHash,nice_hash
Deepcoin,deepcoin
Pionex,pionex
Biconomy,biconomy
CoinTR Pro,cointr
BTSE,btse
BitDelta,bitdelta
BitMake,bitmake
BitVenus,bitvenus_spot
BigONE,bigone
Paribu,paribu
bitFlyer,bitflyer
CoinEx,coinex
bitcastle,bitcastle
Independent Reserve,independent_reserve
Bitexen,bitexen
Luno,luno
BTCMarkets,btcmarkets
FinexBox,finexbox
XeggeX,xeggex
CEX.IO,cex
Stormgain,stormgain
CoinDCX,coindcx
Nonkyc.io,nonkyc_io
Kuna Exchange,kuna
Coinmetro,coin_metro
Emirex,emirex
Delta Exchange,delta_spot
Blockchain.com,blockchain_com
Hotcoin Global,hotcoin_global
Uniswap V3 (Ethereum),uniswap_v3
Toobit,toobit
FameEX,fameex
Bithumb,bithumb
Uniswap V3 (Arbitrum One),uniswap_v3_arbitrum
Pancakeswap V3 (BSC),pancakeswap-v3-bsc
Bitvavo,bitvavo
Uniswap V2 (Ethereum),uniswap_v2
BtcTurk | Kripto,btcturk
Uniswap V3 (Polygon),uniswap_v3_polygon_pos
Azbit,azbit
Coincheck,coincheck
PancakeSwap (v2),pancakeswap_new
Bitci TR,bitci
FMFW.io,bitcoin_com
GMO Japan,gmo_japan
Trader Joe,traderjoe
Osmosis,osmosis
Canto Dex,canto_dex
Sushiswap,sushiswap
Kanga,kanga
Maverick Protocol,maverick_protocol
Cetus,cetus
Korbit,korbit
Pancakeswap V3 (zkSync),pancakeswap-v3-zksync
Nomiswap (Stable),nomiswap_stable
Nominex,nominex
Uniswap V3 (Avalanche),uniswap-v3-avalanche
PulseX,pulsex
Balancer V2,balancer
Katana,katana
BitStorage,bitstorage
VVS Finance,vvs
itBit,itbit
CoinJar Exchange,coinjar
WazirX,wazirx
Mute,mute
Deribit Spot,deribit_spot
Mercado Bitcoin,mercado_bitcoin
Pancakeswap V3 (Arbitrum),pancakeswap-v3-arbitrum
Kujira Fin,kujira
Tokenize,tokenize
FusionX V3,fusionx-v3
zkSwap Finance,zkswap-finance
Zaif,zaif
Bitlo,bitlo
Metal X,metalx
Coinlist,coinlist
Balancer V2 (Gnosis),balancer-gnosis
WAGMI (Kava),wagmi-kava
Cryptal,cryptal
Bittime,bittime
Nomiswap,nomiswap
LCX Exchange,lcx
Nash,nash
CrowdSwap (Polygon),crowdswap-polygon
ApeX Pro,apex_pro
Rhino.fi,deversifi
