Exchange Name,Exchange ID
10KSwap,10kswap-starknet-alpha
1BCH,1bch
3xcalibur,3xcalibur
9inch,9inch
Aave,aave
ABCC,abcc
Acala Swap,acala_swap
ACDX,acdx
Ace,ace
Acsi Finance,acsi_finance
Aerodrome (Base),aerodrome-base
Aevo,aevo
Agni Finance,agni-finance
Agora Swap,agora_swap
Aktionariat (Ethereum),aktionariat-ethereum
ALEX,alexgo
Algebra finance,algebra_finance
Alien Base,alien-base
AlienFi,alienfi
AllInXSwap (opBnb),allinxswap-opbnb
Alpha5,alpha_five
AltcoinTrader,altcointrader
AlterDice,alterdice
Altmarkets,altmarkets
Amaterasu Finance,amaterasu
Animeswap,animeswap
ApertureSwap,apertureswap
Apeswap (Arbitrum),apeswap-arbitrum
ApeSwap,apeswap_bsc
ApeSwap (Polygon),apeswap_polygon
Apeswap (Telos),apeswap_telos
ApeX Pro,apex_pro
Aprobit,aprobit
AQX,aqx
Flipster,aqx_derivatives
Arbidex,arbidex
Arbswap,arbswap_arbitrum_one
Archerswap,archerswap
ArthSwap,arthswap
Ashswap,ashswap
Astroport (Classic),astroport
Astroport (Injective),astroport_injective
Astroport (Neutron),astroport_neutron
Astroport (Sei),astroport-sei
Astroport V2,astroport_v2
Astrovault,astrovault
AuroraSwap,auroraswap
AutoShark Finance,autoshark_finance
AUX Exchange,aux
AYIN,ayin
Azbit,azbit
B2BX,b2bx
BabyDogeSwap,babydogeswap
BabySwap,babyswap
Baguette,baguette
Bakeryswap,bakeryswap
BakerySwap (Base),bakeryswap-base
Bakkt,bakkt
Balanced,balanced_network
Balancer V2,balancer
Balancer V2 (Arbitrum),balancer_arbitrum
Balancer V2 (Gnosis),balancer-gnosis
Balancer V2 (Polygon),balancer_polygon
Balancer V1,balancer_v1
Balancer V2 (Avalanche),balancer-v2-avalanche
Balancer V2 (Base),balancer-v2-base
Bancor (V2),bancor
Bancor (V3),bancor_v3
BAPTSwap,baptswap
Baryon Network,baryon_network
BaseFEX,basefex
BaseSwap,baseswap
Baso Finance,baso-finance
BCEX,bcex
Beamswap,beamswap
Beam Swap,beam-swap
Beaxy,beaxy
Beethoven X,beethovenx
Beethoven X (Optimism),beethoven_x_optimism
Benswap,benswap_smart_bitcoin_cash
Bgogo,bgogo
Bibox,bibox
Bibox (Futures),bibox_futures
Biconomy,biconomy
BigONE,bigone
BigONE Futures,bigone_futures
Bilaxy,bilaxy
Binance,binance
Binance DEX,binance_dex
Binance DEX (Mini),binance_dex_mini
Binance (Futures),binance_futures
Binance US,binance_us
BinarySwap,binaryswap
BingX,bingx
BingX (Futures),bingx_futures
BiONE,bione
Birake,birake
Bisq,bisq
Biswap,biswap
Biswap V3,biswap-v3-1
Bit2c,bit2c
